"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
10, 9.701499938960000e-01, -4.256268552403566e-03, 2.757670386187591e-01, 7.892027162568035e+02, 1.112052542465804e+02, 1.460628891965378e+06, 1.235673944578742e+05, 1.560960376910214e+03, 3.648973259331064e+00, 3.135933799707332e-03, 2.861845709370133e+03, 4.032579629660485e+02
11, 9.645400047300000e-01, -5.038225493362627e-03, 2.772030405306014e-01, 7.926687416223467e+02, 1.106680782168111e+02, 1.466411874890817e+06, 1.243972670490515e+05, 1.563303121085561e+03, 3.642631658970776e+00, 3.252936738084879e-03, 2.859523979625474e+03, 3.992311123463097e+02
12, 9.584699869160000e-01, -5.878077433056352e-03, 2.792338959994640e-01, 7.982219489943926e+02, 1.105495628899847e+02, 1.477081635165472e+06, 1.257175695330272e+05, 1.568404883133225e+03, 3.634989900286957e+00, 3.439084915304674e-03, 2.858614088154702e+03, 3.959030922599632e+02
13, 9.519400000570000e-01, -6.774428848839826e-03, 2.811575866836766e-01, 8.033904405183334e+02, 1.105177235217615e+02, 1.487362597713932e+06, 1.271288404292792e+05, 1.575159816593421e+03, 3.625238381100065e+00, 3.638058641468988e-03, 2.857438243066897e+03, 3.930810646987886e+02
14, 9.449599981310000e-01, -7.724467125531491e-03, 2.837757997648295e-01, 8.104305991593912e+02, 1.106370396779360e+02, 1.500323173103002e+06, 1.286032891139371e+05, 1.578727103888995e+03, 3.618659830761358e+00, 3.845939743250087e-03, 2.855883411591160e+03, 3.898748229046419e+02
15, 9.375399947170000e-01, -8.725349486403867e-03, 2.870243412360177e-01, 8.192275282531799e+02, 1.103740418722290e+02, 1.515564745830871e+06, 1.300877636888185e+05, 1.578876149542308e+03, 3.615507306095644e+00, 4.055234385649923e-03, 2.854209244851244e+03, 3.845459287422224e+02
16, 9.296900033950000e-01, -9.774221272349531e-03, 2.898399743805470e-01, 8.269198918109464e+02, 1.103549351665388e+02, 1.530128580753196e+06, 1.318038607399766e+05, 1.584164198841477e+03, 3.607360182235019e+00, 4.297185258182873e-03, 2.853022236074439e+03, 3.807443586841050e+02
17, 9.214000105860000e-01, -1.087086069705918e-02, 2.928207079467797e-01, 8.349331651262814e+02, 1.102185182378123e+02, 1.545355295355577e+06, 1.337081332894672e+05, 1.590693053932356e+03, 3.597156831935094e+00, 4.565666813220142e-03, 2.851346036899927e+03, 3.764027449105291e+02
18, 9.126999974250000e-01, -1.200973104171110e-02, 2.961321172246398e-01, 8.440590462926137e+02, 1.101470423553640e+02, 1.562318422491131e+06, 1.355727854013281e+05, 1.594840855372799e+03, 3.590430753336598e+00, 4.828562320866809e-03, 2.850278633074870e+03, 3.719523683809300e+02
19, 9.035800099370001e-01, -1.319055953446835e-02, 2.992575411337555e-01, 8.525944228895412e+02, 1.094918529844683e+02, 1.579498627340738e+06, 1.379734888483004e+05, 1.606130717975295e+03, 3.575280502398947e+00, 5.167035190624283e-03, 2.849032374119747e+03, 3.658783420115388e+02
20, 8.940600156780000e-01, -1.440916392228702e-02, 3.021045737185222e-01, 8.602343172963747e+02, 1.093287091768814e+02, 1.594832683229457e+06, 1.401214459807328e+05, 1.615762987003409e+03, 3.562059726814493e+00, 5.469873600610872e-03, 2.847472008477022e+03, 3.618902813392871e+02
21, 8.841500282290000e-01, -1.566269158090452e-02, 3.056947785330653e-01, 8.692028523808534e+02, 1.094713407061013e+02, 1.610811462498286e+06, 1.421913286146380e+05, 1.620374637076424e+03, 3.551353640425987e+00, 5.761704362149794e-03, 2.843368331483740e+03, 3.581066750024988e+02
22, 8.738499879840000e-01, -1.694956337677533e-02, 3.095515229346925e-01, 8.793883905268225e+02, 1.097477494436034e+02, 1.629121716387764e+06, 1.442252357152376e+05, 1.623075259000576e+03, 3.544750095350394e+00, 6.048462967852745e-03, 2.840846597005278e+03, 3.545379082717592e+02
23, 8.631799817090000e-01, -1.826569132102762e-02, 3.153057469393916e-01, 8.951589639076611e+02, 1.098770340786215e+02, 1.655368210025698e+06, 1.462147067087300e+05, 1.615435104773198e+03, 3.549947507068318e+00, 6.328956569557641e-03, 2.839018865329244e+03, 3.484777399244238e+02
24, 8.521599769590000e-01, -1.960709133914372e-02, 3.199650919544774e-01, 9.078518889562228e+02, 1.100070396831247e+02, 1.677893699598282e+06, 1.484150794400782e+05, 1.615867606214585e+03, 3.546711260502785e+00, 6.639185004416928e-03, 2.837346672446962e+03, 3.438095043779831e+02
25, 8.407700061800000e-01, -2.097463226217677e-02, 3.252122657813252e-01, 9.223816515610522e+02, 1.100201269072060e+02, 1.703867693395857e+06, 1.508829971533319e+05, 1.616232109017140e+03, 3.544138450648943e+00, 6.987134348924172e-03, 2.836244965561255e+03, 3.383025134149898e+02
26, 8.290500044819999e-01, -2.236196298315981e-02, 3.301499363138075e-01, 9.359884046989285e+02, 1.097962415628076e+02, 1.728359375431745e+06, 1.533278908886929e+05, 1.617857584491899e+03, 3.540038149884581e+00, 7.331837564935024e-03, 2.835040391494341e+03, 3.325647818948731e+02
27, 8.170099854470000e-01, -2.376642068849115e-02, 3.349834669868577e-01, 9.493552817929574e+02, 1.085105396368835e+02, 1.753201248828162e+06, 1.561491254409162e+05, 1.623852313545800e+03, 3.531033152645679e+00, 7.729600710713928e-03, 2.834036229705041e+03, 3.239280452045136e+02
28, 8.046399950980000e-01, -2.518763605296113e-02, 3.401007714270427e-01, 9.636845195933896e+02, 1.079922583267376e+02, 1.779752407320701e+06, 1.589176943418569e+05, 1.627777284921139e+03, 3.525257556627502e+00, 8.119938576977457e-03, 2.833526414979379e+03, 3.175301775224104e+02
