"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
0, 9.997500181200000e-01, -3.632896519016437e-05, 9.653839243381476e-01, 5.197964403610206e+02, 7.985505394806516e+01, 3.153227255116650e+05, 6.883267950616690e+04, 2.483847675073559e+02, 1.724198864167457e+00, -2.036027116505233e-01, 5.384349451617242e+02, 8.271844178761580e+01
1, 9.990000128750000e-01, -1.452537504052920e-04, 9.376656542991244e-01, 5.069573006874187e+02, 7.400778511962592e+01, 3.065084946234565e+05, 6.661694771651849e+04, 2.474953631950417e+02, 1.732487401133654e+00, -2.174868847045316e-01, 5.406589207603571e+02, 7.892769110215988e+01
2, 9.977599978450000e-01, -3.251111630156300e-04, 9.407855821692339e-01, 5.076423745315766e+02, 7.340970231338396e+01, 3.073548207934960e+05, 6.701212458737670e+04, 2.481378868668937e+02, 1.726497438503656e+00, -2.150106355088618e-01, 5.395941266032912e+02, 7.803021613502852e+01
3, 9.960200190539999e-01, -5.769983605901485e-04, 9.426473221267588e-01, 5.087495534146412e+02, 7.355448219099803e+01, 3.079788522854294e+05, 6.712892581994447e+04, 2.480794583213806e+02, 1.727041650501966e+00, -2.142787380231333e-01, 5.397029636352471e+02, 7.802969410133971e+01
4, 9.937800168990000e-01, -9.004365425509819e-04, 9.428345473234632e-01, 5.087103401591887e+02, 7.333384704055550e+01, 3.080131515291726e+05, 6.716911640024633e+04, 2.481786929597712e+02, 1.726117234640649e+00, -2.140268966339097e-01, 5.395542002606135e+02, 7.778018661782922e+01
5, 9.910500049590000e-01, -1.293363843462116e-03, 9.437293416947037e-01, 5.090838590593941e+02, 7.313039916489301e+01, 3.082825642105243e+05, 6.725576029033748e+04, 2.482632142187269e+02, 1.725330084207701e+00, -2.134839704685145e-01, 5.394384137142604e+02, 7.749086092159534e+01
6, 9.878399968150000e-01, -1.753609743384430e-03, 9.448081267543571e-01, 5.095215500982432e+02, 7.289002872700473e+01, 3.086055717744620e+05, 6.736202389350707e+04, 2.483715526183970e+02, 1.724321392913307e+00, -2.128181036597962e-01, 5.392857403212355e+02, 7.714796969136950e+01
7, 9.841300249100000e-01, -2.283176811071472e-03, 9.459867303108414e-01, 5.099837979094293e+02, 7.261171164201662e+01, 3.089557129078188e+05, 6.748087775532683e+04, 2.484997887564905e+02, 1.723127847197762e+00, -2.120733440307868e-01, 5.391024858687541e+02, 7.675764290917397e+01
8, 9.799500107769999e-01, -2.876826092032643e-03, 9.473389441965925e-01, 5.105228963346113e+02, 7.229990870662489e+01, 3.093590056831933e+05, 6.761566493690299e+04, 2.486407330220091e+02, 1.721816494576536e+00, -2.112287433606116e-01, 5.389020471100439e+02, 7.631894492413178e+01
9, 9.752799868580000e-01, -3.536324145770189e-03, 9.488340853383369e-01, 5.111130861318259e+02, 7.195527016709259e+01, 3.098040970388160e+05, 6.776553063249876e+04, 2.487991607498136e+02, 1.720343075160704e+00, -2.102896580154304e-01, 5.386748790222605e+02, 7.583546088717361e+01
10, 9.701499938960000e-01, -4.256268552403566e-03, 9.504812767346468e-01, 5.117645613842652e+02, 7.157780345451619e+01, 3.102947854149346e+05, 6.793030589375943e+04, 2.489719090136722e+02, 1.718737181517153e+00, -2.092571466559550e-01, 5.384267674818581e+02, 7.530690525585084e+01
11, 9.645400047300000e-01, -5.038225493362627e-03, 9.522673105871392e-01, 5.124666395298485e+02, 7.116950832794483e+01, 3.108262969141461e+05, 6.810950759147262e+04, 2.491605091476581e+02, 1.716984759719112e+00, -2.081342366565382e-01, 5.381541861537567e+02, 7.473690164168700e+01
12, 9.584699869160000e-01, -5.878077433056352e-03, 9.541943175672514e-01, 5.132240449034862e+02, 7.073070278173857e+01, 3.113999072816446e+05, 6.830271056024537e+04, 2.493626807765821e+02, 1.715107213297581e+00, -2.069235921798371e-01, 5.378611415460607e+02, 7.412609934847310e+01
13, 9.519400000570000e-01, -6.774428848839826e-03, 9.562421031553997e-01, 5.140260073846146e+02, 7.026309672582691e+01, 3.120091316664335e+05, 6.850836130864217e+04, 2.495778637792120e+02, 1.713109920919015e+00, -2.056349476819935e-01, 5.375479762796847e+02, 7.347835500442130e+01
14, 9.449599981310000e-01, -7.724467125531491e-03, 9.584058902086234e-01, 5.148723986194912e+02, 6.976732755309268e+01, 3.126528322605566e+05, 6.872569723712247e+04, 2.498043666518050e+02, 1.711008770408102e+00, -2.042730817485932e-01, 5.372174815280142e+02, 7.279517818688062e+01
15, 9.375399947170000e-01, -8.725349486403867e-03, 9.606781165248051e-01, 5.157590860957883e+02, 6.924400486571668e+01, 3.133285806431998e+05, 6.895413741895951e+04, 2.500418925605506e+02, 1.708806691153483e+00, -2.028416345707659e-01, 5.368698185418397e+02, 7.207825771674977e+01
16, 9.296900033950000e-01, -9.774221272349531e-03, 9.630596386527526e-01, 5.166869065647722e+02, 6.869482148781175e+01, 3.140367731003081e+05, 6.919362647212727e+04, 2.502898603081886e+02, 1.706509247808047e+00, -2.013409531822258e-01, 5.365056179569295e+02, 7.132976892678276e+01
17, 9.214000105860000e-01, -1.087086069705918e-02, 9.655424122375533e-01, 5.176520111206808e+02, 6.812183818954564e+01, 3.147749365561469e+05, 6.944343602186561e+04, 2.505475679192533e+02, 1.704123112945056e+00, -1.997756017099426e-01, 5.361256062497256e+02, 7.055292168023952e+01
18, 9.126999974250000e-01, -1.200973104171110e-02, 9.680968336143632e-01, 5.186433196106540e+02, 6.752505333209864e+01, 3.155342198833075e+05, 6.970063754224617e+04, 2.508119912714875e+02, 1.701676432092668e+00, -1.981639308229692e-01, 5.357349612169614e+02, 6.975030904707712e+01
