       "CD"       ,       "CL"       
      0.2371347857,       1.263171314
       0.214080124,       1.388805266
      0.1994919622,       1.335263529
      0.1874107776,       1.291279291
       0.184240637,        1.28622416
      0.1835791587,       1.288372848
      0.1828813909,       1.288075503
      0.1824486771,       1.288281194
      0.1824577261,       1.289980324
      0.1825489022,       1.291573606
      0.1825597816,       1.292359936
      0.1825418345,       1.292777116
      0.1825410916,       1.293189681
      0.1825947731,       1.293824567
      0.1827046929,       1.294686807
      0.1828436564,       1.295645979
      0.1829889012,       1.296592903
      0.1831250058,       1.297450226
        0.18324178,       1.298167589
      0.1833343638,       1.298723398
      0.1834019757,       1.299119106
      0.1834467072,       1.299372175
      0.1834714184,       1.299503456
      0.1834788961,        1.29953257
      0.1834717092,       1.299477487
      0.1834526598,       1.299354745
      0.1834240465,       1.299178309
      0.1833878501,       1.298959514
      0.1833456171,       1.298707069
      0.1832988118,       1.298429219
      0.1832488117,       1.298133631
      0.1831968266,       1.297827213
      0.1831438357,       1.297515594
      0.1830906547,       1.297203545
      0.1830379312,       1.296894681
      0.1829861497,        1.29659192
      0.1829357364,       1.296297672
      0.1828869316,       1.296013523
      0.1828401079,       1.295741271
      0.1827955183,       1.295482238
      0.1827532816,       1.295237033
      0.1827134269,       1.295005814
      0.1826757565,       1.294787717
      0.1826405714,       1.294583821
       0.182607835,       1.294393919
      0.1825773489,       1.294217035
      0.1825489492,       1.294052313
      0.1825225048,       1.293899014
      0.1824978984,       1.293756448
      0.1824750173,       1.293623943
      0.1824537505,       1.293500838
      0.1824339892,       1.293386487
      0.1824156277,        1.29328027
      0.1823985663,       1.293181601
      0.1823827172,        1.29308996
       0.182367994,       1.293004841
      0.1823543103,       1.292925748
       0.182341586,       1.292852217
      0.1823297539,       1.292783859
      0.1823187513,       1.292720305
      0.1823085178,       1.292661201
      0.1822989967,       1.292606218
       0.182290136,       1.292555056
      0.1822818864,       1.292507427
      0.1822742035,       1.292463078
        0.18226705,       1.292421792
      0.1822603885,       1.292383352
      0.1822541832,       1.292347551
      0.1822484016,         1.2923142
      0.1822430145,       1.292283128
      0.1822379945,       1.292254178
      0.1822333167,       1.292227205
      0.1822289578,       1.292202075
      0.1822248964,       1.292178663
      0.1822211125,       1.292156853
      0.1822175875,       1.292136538
      0.1822143037,       1.292117615
      0.1822112448,        1.29209999
      0.1822083954,       1.292083575
      0.1822057414,       1.292068287
      0.1822032694,       1.292054049
      0.1822009671,        1.29204079
      0.1821988229,       1.292028443
       0.182196826,       1.292016945
      0.1821949664,        1.29200624
      0.1821932348,       1.291996272
      0.1821916225,       1.291986992
      0.1821901214,       1.291978354
      0.1821887239,       1.291970312
      0.1821874231,       1.291962827
      0.1821862122,       1.291955861
      0.1821850852,       1.291949379
      0.1821840365,       1.291943346
      0.1821830606,       1.291937734
      0.1821821527,       1.291932513
       0.182181308,       1.291927657
      0.1821805223,        1.29192314
      0.1821797916,        1.29191894
       0.182179112,       1.291915034
      0.1821784802,       1.291911403
      0.1821778927,       1.291908027
      0.1821773466,        1.29190489
      0.1821768391,       1.291901974
      0.1821763674,       1.291899264
      0.1821759291,       1.291896747
      0.1821755219,       1.291894409
      0.1821751436,       1.291892237
      0.1821747923,        1.29189022
       0.182174466,       1.291888347
      0.1821741631,       1.291886608
      0.1821738818,       1.291884994
      0.1821736207,       1.291883495
      0.1821733784,       1.291882105
      0.1821731536,       1.291880815
      0.1821729449,       1.291879618
      0.1821727514,       1.291878508
      0.1821725719,       1.291877479
      0.1821724054,       1.291876524
       0.182172251,       1.291875639
      0.1821721079,       1.291874818
      0.1821719752,       1.291874058
      0.1821718522,       1.291873353
      0.1821717383,         1.2918727
      0.1821716327,       1.291872095
      0.1821715349,       1.291871535
      0.1821714443,       1.291871016
      0.1821713604,       1.291870535
      0.1821712827,        1.29187009
      0.1821712108,       1.291869678
      0.1821711442,       1.291869297
      0.1821710826,       1.291868944
      0.1821710256,       1.291868618
      0.1821709728,       1.291868316
       0.182170924,       1.291868036
      0.1821708789,       1.291867778
      0.1821708371,       1.291867539
      0.1821707985,       1.291867318
      0.1821707628,       1.291867114
      0.1821707298,       1.291866925
      0.1821706993,       1.291866751
      0.1821706711,       1.291866589
      0.1821706451,        1.29186644
       0.182170621,       1.291866303
      0.1821705988,       1.291866176
      0.1821705782,       1.291866058
      0.1821705593,        1.29186595
      0.1821705418,        1.29186585
      0.1821705256,       1.291865757
      0.1821705107,       1.291865672
      0.1821704969,       1.291865593
      0.1821704842,       1.291865521
      0.1821704725,       1.291865454
      0.1821704616,       1.291865392
      0.1821704517,       1.291865335
      0.1821704424,       1.291865282
      0.1821704339,       1.291865234
      0.1821704261,       1.291865189
      0.1821704189,       1.291865148
      0.1821704122,        1.29186511
      0.1821704061,       1.291865075
      0.1821704004,       1.291865042
      0.1821703952,       1.291865012
      0.1821703904,       1.291864985
       0.182170386,        1.29186496
      0.1821703819,       1.291864936
      0.1821703781,       1.291864915
      0.1821703746,       1.291864895
      0.1821703714,       1.291864877
      0.1821703685,        1.29186486
      0.1821703658,       1.291864845
      0.1821703633,        1.29186483
       0.182170361,       1.291864817
      0.1821703589,       1.291864805
      0.1821703569,       1.291864794
      0.1821703551,       1.291864784
      0.1821703535,       1.291864774
       0.182170352,       1.291864766
      0.1821703506,       1.291864758
      0.1821703493,        1.29186475
      0.1821703481,       1.291864744
       0.182170347,       1.291864737
       0.182170346,       1.291864732
      0.1821703451,       1.291864726
      0.1821703442,       1.291864722
      0.1821703435,       1.291864717
      0.1821703427,       1.291864713
