       "CD"       ,       "CL"       
      0.2100533778,       1.187589194
       0.181815212,       1.318570983
      0.1700864365,       1.283027438
      0.1592003893,       1.239649944
      0.1551926213,       1.229599688
      0.1544017908,       1.232028013
      0.1541362238,       1.234067354
      0.1538503955,       1.235053041
      0.1538472268,       1.236882192
       0.154018775,        1.23906565
      0.1541311309,       1.240535005
      0.1541717091,       1.241366168
      0.1542017108,       1.241987763
      0.1542553123,       1.242656489
      0.1543509526,       1.243491763
      0.1544800375,        1.24445828
      0.1546208998,       1.245448927
      0.1547562326,       1.246375747
      0.1548756043,       1.247179425
       0.154973583,        1.24782824
      0.1550480748,       1.248312223
      0.1550999903,       1.248641419
      0.1551310694,       1.248830815
       0.155143349,       1.248897266
      0.1551391287,       1.248859255
      0.1551210926,       1.248735434
      0.1550920298,       1.248543433
      0.1550544652,       1.248299403
      0.1550107349,       1.248017652
      0.1549628211,       1.247710105
      0.1549123574,       1.247386635
      0.1548606598,       1.247055371
       0.154808637,       1.246721959
      0.1547569607,        1.24639086
      0.1547062134,       1.246065949
      0.1546568934,       1.245750381
      0.1546093676,       1.245446534
      0.1545638646,        1.24515592
      0.1545205514,       1.244879628
      0.1544795605,       1.244618456
      0.1544408755,       1.244372519
      0.1544045441,       1.244142008
      0.1543706234,       1.243926998
      0.1543390441,       1.243726935
      0.1543097411,       1.243541416
      0.1542826293,       1.243369844
      0.1542575668,       1.243211281
      0.1542343987,       1.243064758
      0.1542129898,       1.242929423
      0.1541932146,       1.242804468
      0.1541749481,       1.242689088
      0.1541580685,       1.242582499
      0.1541424598,       1.242483958
      0.1541280133,       1.242392772
      0.1541146203,       1.242308241
      0.1541021865,       1.242229782
      0.1540906403,       1.242156943
      0.1540799188,       1.242089313
      0.1540699575,       1.242026484
       0.154060695,        1.24196807
      0.1540520767,       1.241913731
      0.1540440547,        1.24186316
      0.1540365853,        1.24181608
      0.1540296277,       1.241772231
       0.154023145,        1.24173138
      0.1540171033,       1.241693313
      0.1540114717,       1.241657835
       0.154006222,       1.241624768
      0.1540013283,       1.241593949
       0.153996767,       1.241565229
       0.153992516,       1.241538467
       0.153988555,       1.241513536
      0.1539848648,       1.241490313
      0.1539814277,       1.241468688
      0.1539782291,       1.241448571
      0.1539752551,       1.241429872
       0.153972483,       1.241412431
      0.1539698903,       1.241396124
      0.1539674668,       1.241380886
      0.1539652063,       1.241366679
      0.1539631029,       1.241353463
      0.1539611494,       1.241341191
      0.1539593377,       1.241329812
      0.1539576591,       1.241319273
       0.153956105,       1.241309517
      0.1539546664,       1.241300488
      0.1539533348,       1.241292132
      0.1539521018,       1.241284397
      0.1539509595,       1.241277231
      0.1539499005,       1.241270588
      0.1539489181,       1.241264426
      0.1539480063,       1.241258708
      0.1539471597,       1.241253399
      0.1539463733,       1.241248468
      0.1539456427,       1.241243888
      0.1539449639,       1.241239632
      0.1539443331,       1.241235678
      0.1539437471,       1.241232005
      0.1539432026,       1.241228592
      0.1539426968,       1.241225423
       0.153942227,       1.241222479
      0.1539417908,       1.241219746
      0.1539413858,       1.241217209
      0.1539410099,       1.241214855
      0.1539406611,        1.24121267
      0.1539403376,       1.241210645
      0.1539400376,       1.241208766
      0.1539397595,       1.241207026
      0.1539395018,       1.241205412
       0.153939263,       1.241203918
      0.1539390419,       1.241202535
      0.1539388372,       1.241201254
      0.1539386477,       1.241200069
      0.1539384724,       1.241198972
      0.1539383102,       1.241197958
      0.1539381602,        1.24119702
      0.1539380215,       1.241196153
      0.1539378933,       1.241195351
      0.1539377748,        1.24119461
      0.1539376653,       1.241193926
      0.1539375642,       1.241193294
      0.1539374707,        1.24119271
      0.1539373845,       1.241192171
      0.1539373048,       1.241191674
      0.1539372313,       1.241191214
      0.1539371634,       1.241190791
      0.1539371008,         1.2411904
      0.1539370431,       1.241190039
      0.1539369898,       1.241189706
      0.1539369407,         1.2411894
      0.1539368954,       1.241189117
      0.1539368536,       1.241188856
      0.1539368151,       1.241188616
      0.1539367797,       1.241188395
       0.153936747,       1.241188191
      0.1539367169,       1.241188003
      0.1539366892,        1.24118783
      0.1539366636,       1.241187671
      0.1539366401,       1.241187524
      0.1539366185,       1.241187389
      0.1539365986,       1.241187265
      0.1539365803,       1.241187151
      0.1539365634,       1.241187046
      0.1539365479,       1.241186949
      0.1539365337,       1.241186861
      0.1539365206,       1.241186779
      0.1539365085,       1.241186704
      0.1539364974,       1.241186635
      0.1539364873,       1.241186571
      0.1539364779,       1.241186513
      0.1539364693,        1.24118646
      0.1539364614,        1.24118641
      0.1539364542,       1.241186365
      0.1539364475,       1.241186324
      0.1539364414,       1.241186286
      0.1539364358,       1.241186251
      0.1539364307,       1.241186219
      0.1539364259,       1.241186189
      0.1539364216,       1.241186162
      0.1539364176,       1.241186138
       0.153936414,       1.241186115
      0.1539364106,       1.241186094
      0.1539364076,       1.241186075
      0.1539364048,       1.241186057
      0.1539364022,       1.241186041
      0.1539363998,       1.241186027
      0.1539363977,       1.241186013
      0.1539363957,       1.241186001
      0.1539363939,        1.24118599
      0.1539363922,       1.241185979
      0.1539363907,        1.24118597
      0.1539363893,       1.241185961
       0.153936388,       1.241185953
      0.1539363868,       1.241185946
      0.1539363857,       1.241185939
      0.1539363848,       1.241185933
      0.1539363839,       1.241185927
       0.153936383,       1.241185922
      0.1539363823,       1.241185918
      0.1539363816,       1.241185913
       0.153936381,       1.241185909
