       "CD"       ,       "CL"       
      0.3997144497,       1.537648363
      0.3700282721,       1.542954556
      0.3206236751,       1.383647851
      0.2996309953,        1.32340626
      0.2925155202,       1.303947001
      0.2877575455,       1.293155517
      0.2858350238,        1.29149263
      0.2863165689,       1.296971587
      0.2883056145,       1.306888646
      0.2903138185,       1.315326637
      0.2915563189,       1.320237115
      0.2921252294,       1.322328471
      0.2923168441,       1.322942415
      0.2923778681,       1.323168022
      0.2924944809,       1.323747471
      0.2927419997,       1.324862321
      0.2930780263,       1.326296758
      0.2934208407,       1.327685761
      0.2936760843,       1.328651696
      0.2938269598,       1.329201306
      0.2938802801,       1.329354612
      0.2938594618,       1.329230216
      0.2937961382,       1.328969377
       0.293725238,       1.328703904
      0.2936681234,       1.328497986
      0.2936213425,       1.328320857
      0.2935689179,       1.328104066
      0.2934973587,       1.327796118
      0.2934014112,       1.327383233
      0.2932834287,        1.32688157
      0.2931498175,       1.326320717
      0.2930078327,       1.325730022
       0.292862101,       1.325125626
      0.2927109685,       1.324497041
      0.2925533179,       1.323842299
      0.2924022017,       1.323219085
      0.2922501822,         1.3225833
      0.2920968291,       1.321944506
      0.2919418247,       1.321301008
      0.2917878773,       1.320663269
      0.2916377961,       1.320041341
      0.2914893497,       1.319426817
      0.2913415949,       1.318817796
      0.2911966434,       1.318222255
      0.2910564795,       1.317646917
      0.2909218617,       1.317094006
      0.2907926164,       1.316562626
       0.290669039,       1.316053349
      0.2905496218,       1.315560483
      0.2904342053,       1.315084819
      0.2903227889,       1.314626508
      0.2902161128,       1.314188693
      0.2901149422,       1.313773838
      0.2900196182,       1.313383151
      0.2899300206,       1.313016049
      0.2898459701,        1.31267135
       0.289766967,        1.31234691
      0.2896926981,       1.312042694
      0.2896231925,       1.311757929
      0.2895571727,       1.311485919
      0.2894939912,       1.311224843
      0.2894336915,       1.310975656
      0.2893764801,       1.310739317
      0.2893229415,       1.310517608
      0.2892724114,       1.310307458
      0.2892232318,       1.310103156
      0.2891759373,       1.309907393
      0.2891320999,        1.30972466
      0.2890914399,       1.309553187
      0.2890528113,       1.309388401
      0.2890149956,       1.309225794
      0.2889772603,        1.30906261
      0.2889390911,       1.308896812
      0.2889000943,       1.308726835
      0.2888598604,        1.30855105
      0.2888180157,       1.308367931
      0.2887741517,        1.30817576
      0.2887277398,       1.307972508
      0.2886784574,       1.307756815
      0.2886256707,       1.307526015
      0.2885690163,       1.307278729
      0.2885081156,       1.307013486
      0.2884426868,       1.306729204
      0.2883725295,        1.30642496
      0.2882973651,        1.30609952
       0.288218093,       1.305756753
      0.2881339611,       1.305393115
      0.2880439484,       1.305004316
      0.2879473701,       1.304588496
      0.2878403328,       1.304122481
      0.2877204843,       1.303605758
      0.2875887656,       1.303036869
      0.2874449001,       1.302415731
      0.2872904147,       1.301748936
      0.2871215099,       1.301015665
      0.2869309774,       1.300205075
       0.286727217,       1.299324591
      0.2865047096,       1.298354843
      0.2862552334,        1.29726136
      0.2859765128,       1.296039136
      0.2856635078,       1.294669203
      0.2853130999,       1.293139492
      0.2849216722,       1.291428958
      0.2844858259,       1.289523221
      0.2839984977,       1.287406528
      0.2834815597,       1.285169354
      0.2829455554,       1.282897237
      0.2823533952,       1.280335328
      0.2816873993,       1.277453868
      0.2809356669,       1.274024347
      0.2800977172,       1.270293753
      0.2791247273,        1.26583439
      0.2780058144,       1.260990427
       0.276830989,       1.255819129
      0.2755090013,       1.249811326
      0.2739152567,       1.242120722
      0.2718625614,       1.232863475
      0.2695861512,       1.222518038
      0.2671025429,       1.210938682
      0.2642089298,       1.197923273
      0.2608566205,       1.182448966
      0.2567236541,       1.163778267
      0.2523005659,       1.143442721
      0.2474222392,       1.120800316
       0.241635298,       1.092814862
       0.234945221,       1.059496992
      0.2278567898,        1.01954076
      0.2198750897,      0.9766453953
      0.2099548887,      0.9251250131
       0.199485696,      0.8756151013
      0.1892480421,      0.8340176522
      0.1797921138,      0.8024707532
      0.1734350417,      0.7874577999
      0.1711414952,      0.7856318596
      0.1713405785,      0.7932818538
      0.1725786599,      0.8052284258
       0.174352019,      0.8243456064
      0.1772585106,      0.8536526994
      0.1885874844,      0.9059251218
      0.1981770822,      0.9512376302
      0.2119510508,       1.007160712
      0.2200823411,       1.043493419
      0.2282859263,       1.076833337
      0.2379932027,        1.10644063
      0.2416190667,       1.121073177
      0.2459164085,       1.137573641
      0.2491191314,       1.148959324
      0.2485506457,       1.146648586
      0.2484073299,       1.145616939
      0.2486909136,       1.147339729
      0.2494304548,       1.150958681
      0.2505411289,       1.156327211
      0.2522027057,       1.164106982
      0.2545320346,       1.174932895
      0.2575089451,       1.188507815
      0.2612289138,       1.204517832
      0.2656087984,       1.223043618
      0.2709337391,       1.243121917
      0.2754775989,       1.260285849
      0.2816400854,       1.283964202
      0.2858867126,       1.299265855
       0.287370595,       1.304154884
      0.2894346979,       1.311495344
       0.290354789,       1.315306339
      0.2908492734,       1.316986688
      0.2912387851,       1.318280174
      0.2915456985,       1.319301125
      0.2917242026,       1.319903155
       0.291741752,       1.319922684
      0.2916914786,       1.319768067
      0.2916035802,       1.319477474
      0.2914855758,       1.319059147
      0.2913442684,         1.3185331
      0.2911864688,       1.317935986
      0.2910212491,       1.317317573
      0.2908663081,       1.316756277
      0.2907372223,        1.31631099
      0.2906385317,        1.31598976
      0.2905674889,       1.315771132
      0.2905146028,        1.31561036
      0.2904690496,       1.315463281
      0.2904238133,        1.31530428
       0.290376926,       1.315129032
      0.2903297435,       1.314946129
      0.2902840208,       1.314764674
      0.2902408843,        1.31459005
      0.2902002723,       1.314422317
      0.2901616961,       1.314259215
      0.2901242189,       1.314097036
      0.2900869489,       1.313932847
      0.2900494753,       1.313766055
      0.2900119948,       1.313598519
      0.2899750633,       1.313433322
      0.2899393302,       1.313273511
      0.2899052754,       1.313121116
      0.2898729643,       1.312976315
      0.2898422443,       1.312838318
      0.2898128107,       1.312706279
      0.2897846122,       1.312579814
      0.2897571254,       1.312456204
      0.2897298725,       1.312333946
      0.2897026771,       1.312212606
      0.2896756125,       1.312092681
      0.2896488021,        1.31197452
      0.2896222311,       1.311857948
       0.289595786,       1.311742366
