       "CD"       ,       "CL"       
      0.3293836589,        1.44456802
      0.3111367577,       1.517548559
      0.2806360571,        1.40934232
      0.2653093312,       1.366300465
      0.2608510753,       1.356546351
      0.2589790807,       1.352417727
      0.2578437325,       1.350654227
      0.2574057346,       1.351078688
      0.2573872462,       1.352363792
      0.2574824829,       1.353709892
      0.2576256165,       1.354827891
      0.2577759922,        1.35584646
      0.2579122769,       1.356725131
      0.2580227302,        1.35743406
      0.2580942125,       1.357935889
      0.2581458575,       1.358321591
       0.258200663,       1.358689517
      0.2582711752,       1.359097768
       0.258357331,       1.359551822
      0.2584492457,       1.360014304
      0.2585348506,       1.360435899
      0.2586047067,       1.360776608
      0.2586526072,       1.361010425
      0.2586761399,        1.36112821
      0.2586762473,       1.361135559
      0.2586565579,       1.361049671
      0.2586219081,       1.360892675
      0.2585768586,       1.360685266
      0.2585252091,       1.360444736
      0.2584694079,        1.36018215
       0.258411004,       1.359904909
      0.2583509133,       1.359617638
      0.2582896924,       1.359323507
      0.2582277249,       1.359024925
      0.2581653861,       1.358724184
      0.2581031553,       1.358423901
      0.2580416736,       1.358127254
      0.2579816043,       1.357837373
      0.2579234848,       1.357556777
      0.2578677191,       1.357287372
      0.2578145783,       1.357030432
      0.2577642061,       1.356786646
      0.2577167147,       1.356556621
      0.2576719873,       1.356339717
      0.2576298535,       1.356135301
      0.2575902364,       1.355943018
      0.2575531445,       1.355762822
      0.2575184191,       1.355594104
      0.2574857482,       1.355435597
      0.2574552638,       1.355287814
      0.2574268277,        1.35514997
      0.2574003362,       1.355021581
      0.2573756883,       1.354902104
      0.2573527867,       1.354791076
      0.2573315418,       1.354688055
      0.2573118601,       1.354592589
      0.2572936447,       1.354504214
      0.2572768025,       1.354422484
      0.2572612465,       1.354346979
      0.2572468928,       1.354277292
      0.2572336601,       1.354213028
       0.257221468,       1.354153801
      0.2572102396,       1.354099241
      0.2571999036,       1.354049004
      0.2571904136,       1.354002881
      0.2571817028,       1.353960507
      0.2571737006,       1.353921558
      0.2571663424,       1.353885725
      0.2571595701,       1.353852734
      0.2571533315,       1.353822335
      0.2571475799,       1.353794306
       0.257142277,       1.353768465
      0.2571373921,       1.353744661
      0.2571328983,       1.353722762
      0.2571287708,       1.353702645
      0.2571249865,       1.353684195
      0.2571215228,       1.353667302
      0.2571183572,       1.353651853
      0.2571154708,       1.353637747
       0.257112837,       1.353624857
      0.2571104227,       1.353613042
      0.2571082019,       1.353602183
       0.257106156,       1.353592185
      0.2571042732,       1.353582989
      0.2571025436,       1.353574542
      0.2571009577,       1.353566796
      0.2570995063,       1.353559704
        0.25709818,       1.353553221
      0.2570969694,       1.353547298
      0.2570958643,       1.353541887
      0.2570948547,       1.353536939
      0.2570939315,       1.353532412
      0.2570930865,       1.353528266
      0.2570923124,       1.353524466
      0.2570916031,       1.353520982
      0.2570909533,       1.353517789
      0.2570903582,       1.353514864
      0.2570898138,       1.353512186
      0.2570893161,       1.353509737
      0.2570888615,       1.353507498
      0.2570884468,       1.353505454
      0.2570880686,       1.353503588
       0.257087724,       1.353501887
      0.2570874101,       1.353500336
      0.2570871245,       1.353498923
      0.2570868646,       1.353497637
      0.2570866282,       1.353496465
      0.2570864134,         1.3534954
      0.2570862183,       1.353494431
      0.2570860411,        1.35349355
      0.2570858802,        1.35349275
      0.2570857342,       1.353492023
      0.2570856018,       1.353491363
      0.2570854817,       1.353490763
      0.2570853727,       1.353490219
      0.2570852739,       1.353489724
      0.2570851844,       1.353489276
      0.2570851032,       1.353488869
      0.2570850296,         1.3534885
       0.257084963,       1.353488164
      0.2570849025,        1.35348786
      0.2570848478,       1.353487585
      0.2570847982,       1.353487335
      0.2570847533,       1.353487108
      0.2570847126,       1.353486902
      0.2570846757,       1.353486715
      0.2570846423,       1.353486546
       0.257084612,       1.353486392
      0.2570845846,       1.353486253
      0.2570845597,       1.353486127
      0.2570845372,       1.353486012
      0.2570845168,       1.353485908
      0.2570844983,       1.353485814
      0.2570844815,       1.353485728
      0.2570844663,        1.35348565
      0.2570844525,        1.35348558
        0.25708444,       1.353485516
      0.2570844287,       1.353485457
      0.2570844184,       1.353485405
      0.2570844091,       1.353485357
      0.2570844006,       1.353485313
      0.2570843929,       1.353485274
      0.2570843859,       1.353485238
      0.2570843796,       1.353485205
      0.2570843738,       1.353485175
      0.2570843686,       1.353485148
      0.2570843638,       1.353485124
      0.2570843595,       1.353485101
      0.2570843556,       1.353485081
       0.257084352,       1.353485063
      0.2570843488,       1.353485046
      0.2570843458,        1.35348503
      0.2570843431,       1.353485017
      0.2570843406,       1.353485004
      0.2570843384,       1.353484992
      0.2570843364,       1.353484982
      0.2570843345,       1.353484972
      0.2570843328,       1.353484963
      0.2570843313,       1.353484956
      0.2570843299,       1.353484948
      0.2570843286,       1.353484942
      0.2570843275,       1.353484936
