       "CD"       ,       "CL"       
      0.3643645297,       1.495734085
      0.3420431849,       1.537893296
      0.3036787076,       1.409520897
      0.2853796648,       1.358927278
       0.279671815,       1.342415212
       0.276531932,       1.333975937
      0.2747625705,       1.330928581
      0.2743030997,       1.332246062
       0.275361488,       1.338594538
       0.276628503,        1.34467216
      0.2774591773,       1.348380529
      0.2777881399,       1.349753357
      0.2778388668,       1.349959837
      0.2777569898,       1.349680238
      0.2776406396,       1.349299987
       0.277573766,       1.349155014
      0.2775983236,       1.349394395
      0.2777109073,       1.349994244
      0.2778806216,       1.350802302
      0.2780648027,       1.351635131
      0.2782216768,       1.352320913
      0.2783265714,       1.352764482
      0.2783736106,       1.352951447
      0.2783697008,       1.352922018
      0.2783303593,       1.352749954
      0.2782732806,       1.352512369
      0.2782132299,       1.352270113
      0.2781598692,       1.352059269
      0.2781170938,       1.351891007
      0.2780820671,       1.351749573
      0.2780492961,       1.351610096
      0.2780132902,       1.351449808
        0.27797034,       1.351254979
      0.2779189803,       1.351022031
      0.2778600201,       1.350756758
      0.2777959959,       1.350471402
      0.2777300248,       1.350179775
      0.2776651115,       1.349894516
      0.2776028116,       1.349621504
      0.2775436545,       1.349362113
      0.2774872001,       1.349115351
      0.2774344384,       1.348883623
      0.2773842187,       1.348661735
      0.2773356784,       1.348446316
      0.2772890904,       1.348239283
      0.2772442472,       1.348040443
      0.2772014745,       1.347851709
      0.2771614753,       1.347675997
      0.2771248168,       1.347515328
      0.2770916963,       1.347370156
      0.2770619913,       1.347239681
      0.2770353545,       1.347122235
      0.2770113268,       1.347015779
      0.2769894567,       1.346918437
      0.2769693704,       1.346828713
      0.2769507778,       1.346745478
      0.2769335197,       1.346668107
      0.2769174973,       1.346596212
       0.276902628,        1.34652945
      0.2768888264,       1.346467439
       0.276875998,       1.346409749
      0.2768640342,       1.346355884
      0.2768528211,       1.346305342
      0.2768422543,       1.346257665
      0.2768322362,       1.346212433
      0.2768226888,       1.346169315
      0.2768135604,       1.346128102
      0.2768048181,       1.346088658
      0.2767964454,       1.346050912
      0.2767884336,       1.346014819
      0.2767807778,       1.345980348
      0.2767735009,       1.345947594
      0.2767665761,       1.345916405
      0.2767599735,       1.345886665
      0.2767536705,       1.345858266
      0.2767476613,       1.345831178
      0.2767419384,       1.345805367
      0.2767364928,       1.345780802
      0.2767313189,       1.345757459
       0.276726413,       1.345735322
      0.2767217718,       1.345714375
      0.2767173892,       1.345694588
      0.2767132574,       1.345675922
      0.2767093743,       1.345658359
      0.2767057244,       1.345641832
      0.2767022852,       1.345626246
      0.2766990404,       1.345611531
      0.2766959771,        1.34559763
      0.2766930835,       1.345584491
      0.2766903485,       1.345572066
      0.2766877624,       1.345560313
      0.2766853167,       1.345549195
