       "CD"       ,       "CL"       
      0.2653357041,       1.328350883
      0.2459728712,       1.441297318
      0.2276372488,       1.370827146
      0.2149136169,       1.329365533
      0.2122368247,       1.326835642
      0.2113655437,       1.327615072
      0.2104001912,       1.326478213
      0.2101391413,       1.327312086
      0.2101134497,       1.328751129
      0.2101083507,       1.329767551
      0.2100829542,       1.330269345
      0.2100302966,        1.33044746
      0.2100022923,        1.33067209
      0.2100219076,       1.331077145
      0.2100823221,       1.331626187
      0.2101658149,       1.332228463
      0.2102556763,       1.332805583
      0.2103359284,       1.333290236
      0.2103967627,       1.333646178
      0.2104370437,        1.33387727
      0.2104589547,       1.334000223
        0.21046536,       1.334034085
       0.210458424,       1.333993159
      0.2104405493,       1.333891753
      0.2104137791,       1.333741527
      0.2103797476,       1.333551472
      0.2103397886,       1.333329106
      0.2102950023,       1.333080687
      0.2102463581,       1.332811526
      0.2101947847,       1.332526721
      0.2101411603,       1.332231058
      0.2100864118,       1.331929573
      0.2100312893,       1.331626427
      0.2099763414,       1.331324648
      0.2099221358,       1.331027334
      0.2098693299,       1.330738174
      0.2098184769,       1.330459634
      0.2097696101,       1.330191858
      0.2097226405,       1.329934557
      0.2096775488,       1.329687668
      0.2096343786,       1.329451438
      0.2095931843,       1.329226135
      0.2095539041,       1.329011349
      0.2095162179,       1.328805427
      0.2094817076,        1.32861839
      0.2094499073,       1.328444081
      0.2094194349,       1.328277487
      0.2093905314,       1.328119475
      0.2093633893,       1.327971102
      0.2093379126,        1.32783216
      0.2093141572,       1.327703052
      0.2092922394,       1.327584082
      0.2092721418,       1.327474962
      0.2092537737,       1.327375134
      0.2092370002,       1.327283867
      0.2092216598,       1.327200308
       0.209207588,       1.327123599
      0.2091946378,       1.327052977
      0.2091826915,       1.326987835
      0.2091716615,       1.326927715
      0.2091614834,       1.326872264
      0.2091521051,        1.32682119
      0.2091434788,       1.326774223
      0.2091355572,       1.326731098
      0.2091282953,       1.326691568
      0.2091216567,       1.326655441
      0.2091155936,       1.326622416
      0.2091100497,       1.326592221
      0.2091049829,       1.326564626
       0.209100356,       1.326539424
      0.2090961335,       1.326516429
      0.2090922849,       1.326495475
      0.2090887868,       1.326476445
       0.209085618,       1.326459217
      0.2090827627,       1.326443685
      0.2090802037,       1.326429754
      0.2090779102,        1.32641727
      0.2090758551,        1.32640609
      0.2090740164,       1.326396094
      0.2090723746,       1.326387172
       0.209070911,       1.326379221
      0.2090696081,       1.326372144
      0.2090684501,       1.326365854
      0.2090674221,       1.326360272
      0.2090665108,       1.326355324
      0.2090657042,       1.326350945
      0.2090649913,       1.326347074
      0.2090643619,       1.326343657
       0.209063807,       1.326340644
      0.2090633182,        1.32633799
      0.2090628879,       1.326335654
      0.2090625095,         1.3263336
      0.2090621771,       1.326331795
      0.2090618855,       1.326330212
      0.2090616299,       1.326328825
      0.2090614063,       1.326327611
      0.2090612109,        1.32632655
      0.2090610405,       1.326325625
      0.2090608922,        1.32632482
      0.2090607634,       1.326324121
      0.2090606518,       1.326323515
      0.2090605553,       1.326322992
      0.2090604721,        1.32632254
      0.2090604006,       1.326322153
      0.2090603394,        1.32632182
      0.2090602871,       1.326321537
      0.2090602427,       1.326321296
      0.2090602051,       1.326321093
      0.2090601735,       1.326320922
      0.2090601471,       1.326320779
      0.2090601252,        1.32632066
      0.2090601071,       1.326320563
      0.2090600924,       1.326320484
      0.2090600807,        1.32632042
      0.2090600713,        1.32632037
      0.2090600641,       1.326320332
      0.2090600587,       1.326320303
      0.2090600549,       1.326320283
      0.2090600523,       1.326320269
      0.2090600508,       1.326320262
      0.2090600502,       1.326320259
      0.2090600504,       1.326320261
      0.2090600511,       1.326320265
      0.2090600524,       1.326320273
      0.2090600541,       1.326320283
      0.2090600561,       1.326320294
      0.2090600583,       1.326320307
      0.2090600607,        1.32632032
      0.2090600633,       1.326320335
      0.2090600659,       1.326320349
      0.2090600686,       1.326320365
      0.2090600713,        1.32632038
       0.209060074,       1.326320395
      0.2090600767,        1.32632041
      0.2090600794,       1.326320425
       0.209060082,        1.32632044
      0.2090600846,       1.326320454
      0.2090600871,       1.326320468
      0.2090600895,       1.326320481
      0.2090600918,       1.326320494
      0.2090600941,       1.326320507
      0.2090600963,       1.326320519
      0.2090600983,       1.326320531
      0.2090601003,       1.326320542
      0.2090601022,       1.326320552
       0.209060104,       1.326320562
      0.2090601058,       1.326320572
      0.2090601074,       1.326320581
       0.209060109,        1.32632059
      0.2090601105,       1.326320598
      0.2090601119,       1.326320606
      0.2090601132,       1.326320613
      0.2090601145,       1.326320621
      0.2090601157,       1.326320627
      0.2090601168,       1.326320633
      0.2090601179,       1.326320639
      0.2090601189,       1.326320645
      0.2090601199,        1.32632065
      0.2090601208,       1.326320655
      0.2090601216,        1.32632066
      0.2090601224,       1.326320664
      0.2090601232,       1.326320669
