"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.237475062,        1.00836109,       1.265334396,       4.222153141
          0,           0,           1,      -1.670505287,       0.775596146,      0.8607181697,       3.793294998
          0,           0,           2,        -1.9788588,      0.5092711856,      0.5539266919,       3.487274577
          0,           0,           3,      -2.149105183,      0.3461470927,      0.3608220267,       3.318359884
          0,           0,           4,      -2.309293359,      0.1951442272,      0.1915328889,       3.159400716
          0,           0,           5,      -2.460602897,     0.07154212953,     0.03376282098,       3.009302437
          0,           0,           6,       -2.61437816,    -0.03293934649,     -0.1130764905,       2.856886455
          0,           0,           7,      -2.763207254,     -0.1243850805,     -0.2474420658,       2.709760133
          0,           0,           8,      -2.907623219,     -0.2129377586,     -0.3681309929,       2.566475332
          0,           0,           9,      -3.047981056,     -0.2971061695,     -0.4869194445,       2.425866146
          0,           0,          10,      -3.176815633,     -0.3750368131,      -0.609222766,       2.296364775
          0,           0,          11,      -3.292070474,     -0.4501852557,     -0.7264438819,       2.181424656
          0,           0,          12,      -3.399400313,     -0.5251295427,     -0.8293986854,       2.074794859
          0,           0,          13,      -3.503162785,     -0.5995647168,     -0.9189317171,       1.970790025
          0,           0,          14,      -3.604106549,     -0.6725030157,      -1.001594917,       1.868422925
          0,           0,          15,      -3.699618676,     -0.7432189007,      -1.083592132,       1.771134898
          0,           0,          16,      -3.787839759,     -0.8112696522,      -1.168793255,       1.681828805
          0,           0,          17,      -3.871168704,     -0.8765474376,      -1.258263253,       1.598388272
          0,           0,          18,      -3.953489818,     -0.9390695087,      -1.351110472,       1.516283549
          0,           0,          19,      -4.035852848,     -0.9986820079,      -1.446089776,       1.433478801
          0,           0,          20,      -4.115535133,      -1.055010534,      -1.542319408,       1.351882696
          0,           0,          21,      -4.188471707,      -1.107620731,      -1.638866112,       1.275282551
          0,           0,          22,      -4.252377851,      -1.156183915,      -1.734258206,       1.206370765
          0,           0,          23,      -4.307551954,      -1.200557465,      -1.826652532,       1.145604722
          0,           0,          24,      -4.355427965,      -1.240779762,      -1.914361809,       1.092164682
          0,           0,          25,      -4.397274457,       -1.27705383,       -1.99609067,       1.045113236
          0,           0,          26,      -4.433967678,      -1.309722658,      -2.070704255,       1.003747031
          0,           0,          27,      -4.466199895,      -1.339233961,      -2.136949252,      0.9674977587
          0,           0,          28,      -4.494651717,      -1.366088431,      -2.193577414,      0.9357750665
          0,           0,          29,      -4.520046657,      -1.390793455,      -2.239901938,      0.9078884085
          0,           0,          30,      -4.543125976,      -1.413830312,      -2.276336128,      0.8830650049
          0,           0,          31,      -4.564590587,      -1.435635097,      -2.304419187,      0.8605255889
          0,           0,          32,      -4.585053526,      -1.456590386,      -2.326319876,      0.8395565578
          0,           0,          33,      -4.605016768,      -1.477023767,      -2.344223568,      0.8195527479
          0,           0,          34,      -4.624865511,      -1.497208328,      -2.359948247,      0.8000345189
          0,           0,          35,      -4.644880972,      -1.517365282,      -2.374807071,      0.7806401771
          0,           0,          36,      -4.665259599,      -1.537669289,       -2.38966927,      0.7611080262
          0,           0,          37,      -4.686130902,       -1.55825347,      -2.405068251,      0.7412569838
          0,           0,          38,      -4.707575689,      -1.579215567,      -2.421300163,      0.7209655604
          0,           0,          39,      -4.729639475,      -1.600624142,      -2.438505738,      0.7001557418
          0,           0,          40,      -4.752341849,      -1.622523779,       -2.45672925,      0.6787816608
          0,           0,          41,      -4.775683621,      -1.644940103,      -2.475958287,      0.6568212511
          0,           0,          42,      -4.799651634,      -1.667883829,      -2.496147707,      0.6342704525
          0,           0,          43,      -4.824223877,      -1.691354054,      -2.517243274,      0.6111373637
          0,           0,          44,      -4.849370569,      -1.715341298,      -2.539182795,      0.5874408072
          0,           0,          45,      -4.875060744,      -1.739830343,      -2.561899441,      0.5632032483
          0,           0,          46,      -4.901262499,      -1.764801618,      -2.585329251,      0.5384500682
          0,           0,          47,      -4.927941439,      -1.790232688,      -2.609416786,      0.5132107896
          0,           0,          48,      -4.955064131,      -1.816099691,      -2.634107249,      0.4875152276
          0,           0,          49,      -4.982598924,      -1.842378413,      -2.659348276,        0.46139249
          0,           0,          50,      -5.010515972,      -1.869044895,       -2.68509175,      0.4348707485
          0,           0,          51,      -5.038787488,      -1.896075903,      -2.711294448,      0.4079767526
          0,           0,          52,      -5.067388221,      -1.923449238,      -2.737918747,       0.380735183
          0,           0,          53,      -5.096295894,      -1.951144439,      -2.764926281,      0.3531682031
          0,           0,          54,      -5.125487973,      -1.979142013,      -2.792291072,      0.3252984084
          0,           0,          55,       -5.15494404,      -2.007424071,       -2.81998692,       0.297146371
          0,           0,          56,       -5.18464806,      -2.035974766,      -2.847989014,      0.2687286261
          0,           0,          57,      -5.214584483,      -2.064779281,      -2.876276926,       0.240061175
          0,           0,          58,      -5.244739868,      -2.093824346,      -2.904833665,      0.2111579346
          0,           0,          59,      -5.275102528,      -2.123098174,      -2.933644141,      0.1820311679
          0,           0,          60,      -5.305662023,      -2.152590191,      -2.962694787,      0.1526919204
          0,           0,          61,      -5.336408824,      -2.182290904,      -2.991973862,      0.1231502819
          0,           0,          62,      -5.367334692,       -2.21219184,      -3.021471298,     0.09341500544
          0,           0,          63,      -5.398432327,      -2.242285427,      -3.051178362,      0.0634938547
          0,           0,          64,      -5.429695234,       -2.27256487,      -3.081087258,     0.03339376086
          0,           0,          65,      -5.461117498,       -2.30302407,      -3.111190938,    0.003121020276
          0,           0,          66,      -5.492693593,      -2.333657531,       -3.14148292,    -0.02731850888
          0,           0,          67,      -5.524418487,      -2.364460263,      -3.171956147,    -0.05791948971
          0,           0,          68,        -5.5562875,      -2.395427768,      -3.202604741,     -0.0886769915
          0,           0,          69,      -5.588296835,      -2.426555992,      -3.233425085,     -0.1195869989
          0,           0,          70,      -5.620443582,      -2.457841195,      -3.264411889,     -0.1506463667
          0,           0,          71,      -5.652724517,      -2.489279926,      -3.295560689,     -0.1818516771
          0,           0,          72,      -5.685136319,       -2.52086897,      -3.326867342,     -0.2131994636
          0,           0,          73,      -5.717675837,      -2.552605329,      -3.358327675,     -0.2446864477
          0,           0,          74,      -5.750340233,      -2.584486217,      -3.389937899,     -0.2763096633
          0,           0,          75,      -5.783127006,      -2.616509044,      -3.421694104,     -0.3080664892
          0,           0,          76,      -5.816034641,      -2.648671544,      -3.453590753,     -0.3399552739
          0,           0,          77,      -5.849061747,      -2.680971622,      -3.485623265,     -0.3719744885
          0,           0,          78,      -5.882204695,      -2.713406846,      -3.517793906,     -0.4041204758
          0,           0,          79,      -5.915460539,      -2.745975028,      -3.550097466,     -0.4363902766
          0,           0,          80,      -5.948827695,      -2.778674236,      -3.582529671,     -0.4687821914
          0,           0,          81,      -5.982304604,      -2.811502634,      -3.615087384,     -0.5012945612
          0,           0,          82,      -6.015888936,      -2.844458515,       -3.64776736,     -0.5339249715
          0,           0,          83,      -6.049580786,      -2.877540247,      -3.680567855,     -0.5666734452
          0,           0,          84,      -6.083378481,      -2.910746188,      -3.713485968,     -0.5995382999
          0,           0,          85,      -6.117280141,      -2.944074687,      -3.746518661,      -0.632517604
          0,           0,          86,      -6.151284308,      -2.977524199,      -3.779663198,     -0.6656098095
          0,           0,          87,      -6.185389701,       -3.01109327,      -3.812917064,     -0.6988135507
          0,           0,          88,      -6.219595028,        -3.0447805,      -3.846277888,      -0.732127485
          0,           0,          89,      -6.253899195,      -3.078584578,      -3.879743359,     -0.7655504367
          0,           0,          90,      -6.288301027,      -3.112504194,      -3.913311117,     -0.7990811716
          0,           0,          91,      -6.322799387,      -3.146538073,      -3.946978991,     -0.8327184946
          0,           0,          92,      -6.357393217,      -3.180684985,      -3.980744895,     -0.8664612818
          0,           0,          93,      -6.392081524,      -3.214943738,      -4.014606811,     -0.9003084671
          0,           0,          94,      -6.426863367,      -3.249313182,      -4.048562766,     -0.9342590359
          0,           0,          95,       -6.46173784,      -3.283792199,      -4.082610851,      -0.968312007
          0,           0,          96,       -6.49670408,      -3.318379708,      -4.116749234,      -1.002466443
          0,           0,          97,      -6.531761275,      -3.353074661,      -4.150976142,      -1.036721453
          0,           0,          98,       -6.56690865,      -3.387876038,      -4.185289876,       -1.07107618
          0,           0,          99,       -6.60214547,       -3.42278285,      -4.219688799,      -1.105529805
          0,           0,         100,      -6.637471033,      -3.457794137,      -4.254171316,      -1.140081542
          0,           0,         101,      -6.672884675,      -3.492908963,      -4.288735908,      -1.174730641
          0,           0,         102,      -6.708385769,      -3.528126421,      -4.323381112,      -1.209476384
          0,           0,         103,      -6.743973711,       -3.56344563,      -4.358105514,      -1.244318082
          0,           0,         104,      -6.779647946,      -3.598865731,      -4.392907765,      -1.279255083
          0,           0,         105,       -6.81540792,      -3.634385893,      -4.427786558,      -1.314286748
          0,           0,         106,      -6.851253127,      -3.670005306,      -4.462740664,      -1.349412474
          0,           0,         107,      -6.887183477,      -3.705723213,      -4.497768398,      -1.384632037
          0,           0,         108,      -6.923197664,      -3.741538791,       -4.53286892,      -1.419944129
          0,           0,         109,      -6.959295682,       -3.77745134,      -4.568041529,      -1.455348614
          0,           0,         110,      -6.995477327,      -3.813460153,      -4.603285627,      -1.490845177
          0,           0,         111,      -7.031742071,      -3.849564494,      -4.638600044,        -1.5264332
          0,           0,         112,      -7.068089466,      -3.885763666,      -4.673983459,      -1.562112144
          0,           0,         113,      -7.104519199,      -3.922057007,      -4.709434775,      -1.597881593
          0,           0,         114,      -7.141030975,      -3.958443878,       -4.74495315,      -1.633741163
          0,           0,         115,      -7.177624439,      -3.994923654,      -4.780537863,      -1.669690407
          0,           0,         116,      -7.214299268,      -4.031495721,      -4.816188228,      -1.705728919
          0,           0,         117,      -7.251055152,      -4.068159483,      -4.851903576,      -1.741856312
          0,           0,         118,      -7.287891813,      -4.104914364,      -4.887683215,      -1.778072228
          0,           0,         119,      -7.324809001,      -4.141759797,      -4.923526602,      -1.814376325
          0,           0,         120,      -7.361806501,      -4.178695232,       -4.95943313,      -1.850768308
          0,           0,         121,      -7.398884015,      -4.215720135,      -4.995402311,      -1.887247806
          0,           0,         122,      -7.436041334,       -4.25283398,      -5.031433613,      -1.923814526
          0,           0,         123,      -7.473278226,      -4.290036255,      -5.067526613,       -1.96046816
          0,           0,         124,      -7.510594443,      -4.327326462,      -5.103680859,      -1.997208411
          0,           0,         125,      -7.547989748,      -4.364704112,      -5.139895902,      -2.034034958
          0,           0,         126,      -7.585463941,      -4.402168725,      -5.176171459,      -2.070947537
          0,           0,         127,      -7.623016809,      -4.439719833,      -5.212507164,      -2.107945865
          0,           0,         128,       -7.66064807,      -4.477356983,      -5.248902721,      -2.145029638
          0,           0,         129,      -7.698357598,      -4.515079719,      -5.285357769,      -2.182198632
          0,           0,         130,      -7.736145131,      -4.552887606,      -5.321872247,       -2.21945255
          0,           0,         131,      -7.774010421,      -4.590780217,      -5.358445756,      -2.256791118
          0,           0,         132,      -7.811953346,      -4.628757116,      -5.395078194,      -2.294214117
          0,           0,         133,      -7.849973536,       -4.66681791,      -5.431769444,      -2.331721196
          0,           0,         134,      -7.888070917,      -4.704962173,      -5.468519103,      -2.369312204
          0,           0,         135,      -7.926245151,      -4.743189515,      -5.505327427,      -2.406986746
          0,           0,         136,      -7.964496093,      -4.781499534,      -5.542193936,      -2.444744722
          0,           0,         137,      -8.002823536,      -4.819891846,      -5.579118801,      -2.482585814
