"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.9364450667,         1.5053798,       1.609349842,       4.581175083
          0,           0,           1,     -0.8707380424,       1.683321211,       1.581223302,       4.648595253
          0,           0,           2,     -0.7718589603,       1.702544492,       1.635485746,       4.753847672
          0,           0,           3,     -0.7079369238,       1.709343209,       1.653815037,       4.823682134
          0,           0,           4,     -0.6594629984,       1.668706439,       1.667076467,       4.874551946
          0,           0,           5,     -0.6353957853,       1.665134601,       1.683933562,       4.902230597
          0,           0,           6,     -0.6392340963,       1.639453261,       1.683125838,       4.901248061
          0,           0,           7,     -0.6575929159,       1.549525801,       1.661370132,       4.883133426
          0,           0,           8,     -0.6695013349,       1.503176485,       1.622390478,       4.870992043
          0,           0,           9,     -0.6887939787,       1.478918143,        1.57153167,       4.852695383
          0,           0,          10,     -0.7181027934,       1.416976967,       1.515317507,       4.824481662
          0,           0,          11,      -0.750522685,       1.352154518,       1.456780203,       4.792833785
          0,           0,          12,     -0.7835141258,       1.313875758,       1.395569659,       4.760405259
          0,           0,          13,     -0.8164235016,       1.287201599,       1.332989659,       4.728087479
          0,           0,          14,     -0.8494755732,        1.25282108,       1.271359721,       4.696168498
          0,           0,          15,     -0.8838261022,       1.206675361,       1.211136398,       4.663383186
          0,           0,          16,     -0.9201480893,       1.152840983,       1.152953661,       4.628526838
          0,           0,          17,     -0.9581580413,        1.09678679,       1.098789438,        4.59151213
          0,           0,          18,     -0.9974964913,       1.042075439,       1.048319299,       4.552749343
          0,           0,          19,      -1.038608615,      0.9895205932,      0.9988710407,       4.512023544
          0,           0,          20,      -1.081940934,      0.9386926928,      0.9478648219,       4.468958093
          0,           0,          21,      -1.127779314,      0.8894499305,      0.8936982401,       4.423209845
          0,           0,          22,      -1.175918063,      0.8421516708,      0.8371912881,       4.374967046
          0,           0,          23,      -1.226487701,      0.7957650624,      0.7808627488,       4.324219712
          0,           0,          24,       -1.27919503,      0.7477599348,      0.7269245997,       4.271346732
          0,           0,          25,      -1.333474853,      0.6956673677,      0.6754304809,        4.21693264
          0,           0,          26,      -1.388653626,      0.6384866379,      0.6252301865,       4.161627417
          0,           0,          27,      -1.443921107,      0.5771907146,      0.5747577409,       4.106209535
          0,           0,          28,      -1.498392323,      0.5138718095,       0.523153747,       4.051548984
          0,           0,          29,      -1.551653144,      0.4503498647,      0.4703504575,       3.998100218
          0,           0,          30,      -1.603956772,      0.3872834513,      0.4169584538,       3.945682932
          0,           0,          31,      -1.655781962,      0.3252452084,      0.3638809748,       3.893862558
          0,           0,          32,      -1.707468769,      0.2648316506,      0.3116016221,        3.84227795
          0,           0,          33,       -1.75938225,       0.206644743,      0.2599238477,       3.790536304
          0,           0,          34,      -1.811757202,      0.1504464738,       0.208303371,       3.738382158
          0,           0,          35,      -1.864530256,     0.09549324959,      0.1565544982,       3.685861856
          0,           0,          36,      -1.917503386,     0.04091376531,      0.1046437682,       3.633167428
          0,           0,          37,      -1.970352678,    -0.01381769642,     0.05290430405,        3.58062278
          0,           0,          38,      -2.022679714,    -0.06860472118,    0.001488310664,       3.528620786
          0,           0,          39,      -2.074113507,     -0.1232824219,    -0.04967145855,       3.477540092
          0,           0,          40,      -2.124443288,     -0.1778683634,     -0.1007762254,       3.427601342
          0,           0,          41,      -2.173744186,     -0.2324110375,     -0.1521032282,       3.378728512
          0,           0,          42,      -2.222127944,     -0.2868922761,     -0.2041145322,       3.330775807
          0,           0,          43,       -2.26999135,     -0.3412795492,     -0.2573703938,       3.283372864
          0,           0,          44,       -2.31779723,     -0.3957555706,     -0.3123452607,       3.236040295
          0,           0,          45,      -2.366053341,     -0.4505750284,     -0.3691099009,       3.188257162
          0,           0,          46,      -2.415185617,     -0.5059480335,      -0.427337054,       3.139576137
          0,           0,          47,      -2.465523488,     -0.5620848378,     -0.4865795529,       3.089647997
          0,           0,          48,      -2.517319901,     -0.6192499414,      -0.546244925,        3.03820639
          0,           0,          49,      -2.570697168,     -0.6776152957,     -0.6056428268,       2.985116177
          0,           0,          50,      -2.625598987,      -0.737056764,      -0.663940282,       2.930419907
          0,           0,          51,      -2.681918561,     -0.7975078681,      -0.720419355,       2.874220433
          0,           0,          52,      -2.739451495,     -0.8587142338,     -0.7745327394,       2.816722568
          0,           0,          53,      -2.797912967,     -0.9202453327,     -0.8260701317,       2.758216851
          0,           0,          54,      -2.856953505,     -0.9815264203,     -0.8751822817,       2.699063613
          0,           0,          55,      -2.916189149,      -1.041921116,     -0.9223030028,       2.639663614
          0,           0,          56,      -2.975225376,      -1.100855646,     -0.9680186796,       2.580431328
          0,           0,          57,      -3.033696182,      -1.157995323,      -1.012926004,       2.521755372
          0,           0,          58,      -3.091290641,       -1.21332799,        -1.0575391,       2.463967027
          0,           0,          59,      -3.147774234,      -1.267156116,      -1.102231618,       2.407314833
          0,           0,          60,      -3.203005811,      -1.320033779,      -1.147220331,       2.351945882
          0,           0,          61,      -3.256941117,      -1.372655415,      -1.192576827,       2.297901884
          0,           0,          62,      -3.309621884,      -1.425725401,      -1.238262156,       2.245131329
          0,           0,          63,      -3.361156567,      -1.479842973,      -1.284170187,        2.19351143
          0,           0,          64,       -3.41169408,      -1.535440073,      -1.330173878,       2.142877568
          0,           0,          65,      -3.461401741,      -1.592757298,      -1.376160262,       2.093048667
          0,           0,          66,      -3.510448365,      -1.651831877,      -1.422055763,       2.043846528
          0,           0,          67,      -3.558991742,      -1.712497937,      -1.467841541,       1.995109459
          0,           0,          68,       -3.60717234,      -1.774393076,       -1.51355827,       1.946698793
          0,           0,          69,      -3.655113114,      -1.836967524,      -1.559302402,        1.89849865
          0,           0,          70,      -3.702919988,      -1.899518701,      -1.605213384,       1.850413917
          0,           0,          71,      -3.750683908,      -1.961267875,      -1.651455435,       1.802366286
          0,           0,          72,      -3.798482673,      -2.021467288,      -1.698198328,       1.754290568
          0,           0,          73,      -3.846383357,      -2.079523966,      -1.745600164,        1.70613089
          0,           0,          74,      -3.894443826,      -2.135106313,      -1.793795826,       1.657838192
          0,           0,          75,      -3.942712169,      -2.188198911,      -1.842891571,       1.609370102
          0,           0,          76,      -3.991224936,      -2.239091793,      -1.892961441,       1.560692452
