"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.635415071,      0.5394240599,      0.8441325964,       3.806484365
          0,           0,           1,      -2.159726263,      0.3656879699,      0.4521760361,       3.291198349
          0,           0,           2,      -2.493038292,      0.1236941948,      0.1665516714,       2.961961957
          0,           0,           3,      -2.631987959,    -0.04145659622,    -0.04645853554,       2.820164643
          0,           0,           4,      -2.758190817,     -0.2001828527,     -0.2124285601,       2.692076894
          0,           0,           5,       -2.90204389,     -0.3423586679,     -0.3561551049,       2.547271238
          0,           0,           6,      -3.035629234,     -0.4659744395,     -0.4799127794,       2.411870705
          0,           0,           7,      -3.166210583,     -0.5684768663,     -0.5877354172,       2.279694038
          0,           0,           8,      -3.294395666,     -0.6517928863,     -0.6835368373,       2.150605423
          0,           0,           9,       -3.41211011,      -0.722690523,     -0.7695080073,       2.032338553
          0,           0,          10,      -3.520205571,     -0.7846761713,     -0.8473690985,       1.923432122
          0,           0,          11,      -3.618068725,     -0.8402305673,     -0.9176452526,       1.824345981
          0,           0,          12,      -3.706687086,     -0.8909063218,     -0.9832302314,       1.734793705
          0,           0,          13,      -3.788380706,      -0.938434622,      -1.046969506,       1.652980954
          0,           0,          14,      -3.865607587,     -0.9860993071,      -1.109572393,       1.576368629
          0,           0,          15,       -3.94302129,      -1.036089518,      -1.171515567,        1.49997247
          0,           0,          16,      -4.024934077,      -1.087873685,      -1.234315207,       1.419039754
          0,           0,          17,      -4.110110194,      -1.139670932,      -1.299817634,       1.334379944
          0,           0,          18,      -4.190197724,      -1.190168084,      -1.368410413,        1.25406293
          0,           0,          19,       -4.25712162,      -1.238930821,      -1.437988506,       1.186201953
          0,           0,          20,      -4.312071068,      -1.286069903,      -1.505030528,       1.130037183
          0,           0,          21,       -4.36363264,      -1.331846916,      -1.566936204,       1.077463014
          0,           0,          22,      -4.419684788,      -1.376438788,      -1.623811865,        1.02079967
          0,           0,          23,      -4.482851753,       -1.41984305,      -1.678228068,      0.9573670623
          0,           0,          24,      -4.550260523,      -1.461886047,      -1.733269703,      0.8899027008
          0,           0,          25,      -4.616215988,       -1.50231457,      -1.790733701,      0.8240172881
          0,           0,          26,      -4.676503455,      -1.540895164,      -1.850704836,      0.7639107281
          0,           0,          27,      -4.730853409,      -1.577453416,      -1.912243113,      0.7098186848
          0,           0,          28,      -4.781386593,      -1.611880355,       -1.97426646,      0.6594912929
          0,           0,          29,      -4.829741171,      -1.644153266,      -2.035974227,       0.611094065
          0,           0,          30,      -4.875990351,      -1.674357824,      -2.096772967,      0.5643823228
          0,           0,          31,       -4.91931939,      -1.702670504,      -2.156056675,      0.5201133594
          0,           0,          32,      -4.959049732,      -1.729303592,      -2.213130055,      0.4790564116
          0,           0,          33,      -4.995108897,      -1.754452888,      -2.267290568,      0.4414780194
          0,           0,          34,      -5.027901261,       -1.77827584,      -2.317959168,       0.407182882
          0,           0,          35,      -5.057975058,      -1.800897795,      -2.364760676,      0.3757765068
          0,           0,          36,      -5.085792212,      -1.822428428,      -2.407541199,      0.3468711857
          0,           0,          37,      -5.111669479,      -1.842974664,      -2.446345656,      0.3201566952
          0,           0,          38,      -5.135832003,      -1.862645801,      -2.481379963,      0.2953727012
          0,           0,          39,      -5.158490428,      -1.881553561,      -2.512964772,      0.2722566691
          0,           0,          40,      -5.179875937,      -1.899809339,       -2.54148672,      0.2505264718
          0,           0,          41,      -5.200223639,       -1.91752132,      -2.567351712,      0.2299072716
          0,           0,          42,      -5.219735499,      -1.934791565,      -2.590948197,      0.2101720933
          0,           0,          43,       -5.23856442,      -1.951713769,      -2.612629612,      0.1911561333
          0,           0,          44,      -5.256823341,      -1.968371695,      -2.632710286,      0.1727433666
          0,           0,          45,      -5.274609731,      -1.984838667,      -2.651474026,      0.1548373278
          0,           0,          46,      -5.292020963,      -2.001177711,      -2.669184047,      0.1373419556
          0,           0,          47,      -5.309158581,      -2.017442479,      -2.686085963,       0.120155969
          0,           0,          48,      -5.326122591,       -2.03367862,      -2.702402884,      0.1031785242
          0,           0,          49,      -5.343003466,      -2.049925118,      -2.718327075,     0.08631771897
          0,           0,          50,      -5.359877076,      -2.066215519,      -2.734014458,     0.06949588328
          0,           0,          51,      -5.376804066,      -2.082578924,      -2.749585108,     0.05265038048
          0,           0,          52,      -5.393830463,      -2.099040715,      -2.765127076,     0.03573302857
          0,           0,          53,      -5.410990123,      -2.115623065,      -2.780705098,     0.01870770051
          0,           0,          54,      -5.428306739,      -2.132345188,      -2.796368494,    0.001548556213
          0,           0,          55,      -5.445795246,      -2.149223595,      -2.812155487,    -0.01576128372
          0,           0,          56,      -5.463463903,        -2.1662722,      -2.828097196,    -0.03323180135
          0,           0,          57,      -5.481316146,      -2.183502338,      -2.844218749,    -0.05086800757
          0,           0,          58,      -5.499353063,      -2.200922951,      -2.860541497,    -0.06867254986
          0,           0,          59,      -5.517574123,      -2.218540507,       -2.87708256,    -0.08664647247
          0,           0,          60,      -5.535980097,      -2.236359436,      -2.893854786,     -0.1047919194
          0,           0,          61,      -5.554570072,      -2.254382004,      -2.910867595,     -0.1231094687
          0,           0,          62,      -5.573343427,      -2.272608792,      -2.928126226,     -0.1416000377
          0,           0,          63,      -5.592299352,      -2.291038847,      -2.945632975,     -0.1602642997
          0,           0,          64,      -5.611436988,      -2.309670071,      -2.963387693,     -0.1791028406
          0,           0,          65,      -5.630756536,      -2.328499432,      -2.981386055,     -0.1981170206
          0,           0,          66,      -5.650254851,      -2.347523119,      -2.999624068,     -0.2173049662
          0,           0,          67,      -5.669929439,      -2.366736954,      -3.018095382,     -0.2366653732
          0,           0,          68,      -5.689777482,      -2.386136548,      -3.036792956,     -0.2561964618
          0,           0,          69,      -5.709795561,      -2.405717458,      -3.055709577,     -0.2758957439
          0,           0,          70,      -5.729979211,      -2.425475406,      -3.074837808,     -0.2957596665
          0,           0,          71,      -5.750324319,       -2.44540605,      -3.094169897,     -0.3157849408
          0,           0,          72,      -5.770829421,      -2.465505431,      -3.113700228,     -0.3359705123
          0,           0,          73,      -5.791488598,      -2.485769621,      -3.133423475,     -0.3563111396
          0,           0,          74,      -5.812297586,      -2.506194985,      -3.153334272,     -0.3768031748
          0,           0,          75,      -5.833253195,      -2.526778148,      -3.173427989,     -0.3974439024
          0,           0,          76,      -5.854352206,      -2.547515951,      -3.193700423,     -0.4182304733
          0,           0,          77,      -5.875591136,      -2.568405379,      -3.214147519,     -0.4391597567
          0,           0,          78,      -5.896966986,      -2.589443549,      -3.234765379,      -0.460229078
          0,           0,          79,      -5.918477053,      -2.610627705,      -3.255551086,     -0.4814360002
          0,           0,          80,      -5.940118623,      -2.631955208,      -3.276501465,     -0.5027780064
          0,           0,          81,      -5.961889089,      -2.653423515,      -3.297613358,     -0.5242526599
          0,           0,          82,      -5.983785942,      -2.675030164,      -3.318883738,     -0.5458575987
          0,           0,          83,      -6.005806778,      -2.696772772,      -3.340309778,     -0.5675905455
          0,           0,          84,      -6.027949276,      -2.718649071,      -3.361887512,     -0.5894492826
          0,           0,          85,      -6.050211385,      -2.740656808,      -3.383614835,     -0.6114318512
          0,           0,          86,      -6.072590939,      -2.762793833,      -3.405488947,      -0.633536165
          0,           0,          87,      -6.095085961,       -2.78505811,      -3.427506576,     -0.6557603096
          0,           0,          88,      -6.117694678,      -2.807447714,      -3.449664687,     -0.6781025519
          0,           0,          89,      -6.140415573,      -2.829960786,      -3.471960856,     -0.7005613843
          0,           0,          90,       -6.16324691,      -2.852595486,      -3.494393067,     -0.7231351411
          0,           0,          91,      -6.186188579,      -2.875350202,      -3.516957794,     -0.7458236959
          0,           0,          92,      -6.209236909,      -2.898223259,      -3.539652711,     -0.7686233975
          0,           0,          93,      -6.232388196,      -2.921213088,      -3.562476413,     -0.7915305516
          0,           0,          94,      -6.255641962,       -2.94431817,      -3.585426426,      -0.814544647
          0,           0,          95,      -6.278997425,      -2.967537122,      -3.608500803,     -0.8376648452
          0,           0,          96,      -6.302453121,      -2.990868502,      -3.631697821,     -0.8608896787
          0,           0,          97,      -6.326007874,       -3.01431089,      -3.655015536,     -0.8842179597
          0,           0,          98,      -6.349660571,      -3.037862971,      -3.678452066,     -0.9076485377
          0,           0,          99,      -6.373409825,      -3.061523457,      -3.702005774,     -0.9311799811
          0,           0,         100,      -6.397254235,      -3.085291086,      -3.725675068,     -0.9548108494
          0,           0,         101,      -6.421192491,      -3.109164615,      -3.749458324,     -0.9785397956
          0,           0,         102,      -6.445223387,      -3.133142826,      -3.773353938,      -1.002365571
          0,           0,         103,      -6.469345781,      -3.157224523,      -3.797360318,      -1.026286988
          0,           0,         104,      -6.493558517,      -3.181408525,      -3.821475887,      -1.050302847
          0,           0,         105,      -6.517860481,      -3.205693668,      -3.845699069,      -1.074411988
          0,           0,         106,      -6.542250572,      -3.230078801,      -3.870028302,      -1.098613263
          0,           0,         107,      -6.566727724,      -3.254562788,      -3.894462039,       -1.12290556
          0,           0,         108,      -6.591290884,      -3.279144509,      -3.918998747,      -1.147287778
          0,           0,         109,      -6.615939024,      -3.303822858,      -3.943636907,      -1.171758844
          0,           0,         110,      -6.640671149,      -3.328596744,       -3.96837502,      -1.196317714
          0,           0,         111,      -6.665486278,       -3.35346509,      -3.993211608,      -1.220963359
          0,           0,         112,       -6.69038345,       -3.37842683,      -4.018145217,      -1.245694772
          0,           0,         113,      -6.715361726,      -3.403480917,      -4.043174403,      -1.270510965
          0,           0,         114,      -6.740420197,       -3.42862632,      -4.068297746,      -1.295410983
          0,           0,         115,         -6.765558,      -3.453862023,      -4.093514592,       -1.32039391
          0,           0,         116,      -6.790774396,      -3.479187034,      -4.118822826,      -1.345458948
          0,           0,         117,      -6.816068321,      -3.504600409,      -4.144220599,      -1.370605016
          0,           0,         118,      -6.841438907,      -3.530101135,      -4.169707003,      -1.395831199
          0,           0,         119,      -6.866885417,      -3.555688225,      -4.195280926,      -1.421136706
          0,           0,         120,      -6.892407049,      -3.581360724,      -4.220941075,      -1.446520692
          0,           0,         121,      -6.918003015,      -3.607117694,      -4.246686136,      -1.471982321
          0,           0,         122,      -6.943672545,      -3.632958209,      -4.272514851,      -1.497520775
          0,           0,         123,      -6.969414895,      -3.658881355,      -4.298426017,      -1.523135267
          0,           0,         124,       -6.99522936,      -3.684886228,      -4.324418448,      -1.548825049
          0,           0,         125,      -7.021115183,      -3.710971939,       -4.35049098,      -1.574589315
          0,           0,         126,        -7.0470717,      -3.737137608,      -4.376642447,      -1.600427365
          0,           0,         127,      -7.073098176,      -3.763382366,      -4.402871715,      -1.626338415
          0,           0,         128,      -7.099193985,      -3.789705355,      -4.429177648,      -1.652321799
          0,           0,         129,       -7.12535842,      -3.816105728,      -4.455559147,      -1.678376769
          0,           0,         130,      -7.151590912,      -3.842582646,       -4.48201511,      -1.704502713
          0,           0,         131,      -7.177890761,       -3.86913528,       -4.50854446,      -1.730698889
          0,           0,         132,      -7.204257394,      -3.895762811,      -4.535146122,      -1.756964682
          0,           0,         133,      -7.230690214,      -3.922464428,      -4.561819035,      -1.783299457
          0,           0,         134,      -7.257188594,       -3.94923933,      -4.588562159,      -1.809702545
          0,           0,         135,      -7.283751953,      -3.976086726,      -4.615374459,      -1.836173326
          0,           0,         136,       -7.31037974,      -4.003005832,      -4.642254907,      -1.862711209
          0,           0,         137,      -7.337071405,      -4.029995874,      -4.669202492,      -1.889315612
          0,           0,         138,      -7.363826374,      -4.057056086,      -4.696216214,      -1.915985917
          0,           0,         139,      -7.390644114,      -4.084185712,      -4.723295083,      -1.942721549
          0,           0,         140,      -7.417524087,      -4.111384004,      -4.750438127,      -1.969521947
          0,           0,         141,      -7.444465776,      -4.138650222,      -4.777644387,      -1.996386544
          0,           0,         142,      -7.471468721,      -4.165983637,      -4.804912885,      -2.023314857
          0,           0,         143,      -7.498532363,      -4.193383526,        -4.8322427,      -2.050306279
          0,           0,         144,       -7.52565622,      -4.220849176,      -4.859632897,      -2.077360306
          0,           0,         145,      -7.552839836,      -4.248379885,      -4.887082553,      -2.104476437
          0,           0,         146,      -7.580082733,      -4.275974956,      -4.914590749,       -2.13165417
          0,           0,         147,      -7.607384434,      -4.303633702,      -4.942156616,      -2.158892984
          0,           0,         148,       -7.63474451,      -4.331355445,      -4.969779269,      -2.186192426
          0,           0,         149,      -7.662162541,      -4.359139513,      -4.997457836,      -2.213552048
          0,           0,         150,      -7.689637998,      -4.386985243,      -5.025191476,      -2.240971279
          0,           0,         151,      -7.717170474,      -4.414891984,      -5.052979317,      -2.268449702
          0,           0,         152,      -7.744759607,      -4.442859089,       -5.08082054,      -2.295986904
          0,           0,         153,      -7.772404962,      -4.470885921,      -5.108714301,      -2.323582425
          0,           0,         154,      -7.800106094,      -4.498971851,      -5.136659808,      -2.351235795
          0,           0,         155,       -7.82786261,      -4.527116255,      -5.164656274,      -2.378946598
          0,           0,         156,      -7.855674168,      -4.555318522,      -5.192702867,      -2.406714458
          0,           0,         157,      -7.883540251,      -4.583578048,      -5.220798852,      -2.434538825
          0,           0,         158,       -7.91146054,      -4.611894235,      -5.248943452,      -2.462419372
          0,           0,         159,      -7.939434764,      -4.640266493,      -5.277135921,      -2.490355796
          0,           0,         160,      -7.967462501,      -4.668694238,      -5.305375467,      -2.518347647
          0,           0,         161,      -7.995543254,      -4.697176897,      -5.333661454,      -2.546394418
          0,           0,         162,      -8.023676859,      -4.725713904,      -5.361993068,      -2.574495905
