"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.7603538076,        1.84201002,       1.831287759,       4.839453099
          0,           0,           1,      -0.455432876,       2.287835694,       1.961189288,       5.146433114
          0,           0,           2,       -0.47525046,       2.160914676,       1.956605055,       5.149167629
          0,           0,           3,     -0.4467398369,       2.184164722,       1.973180846,       5.185380369
          0,           0,           4,     -0.4672257722,        2.15297905,         1.9475954,       5.170173802
          0,           0,           5,     -0.5265016489,       2.038353398,       1.911024149,       5.114364552
          0,           0,           6,     -0.5629393893,       1.986884023,       1.848316521,       5.076332629
          0,           0,           7,     -0.6059969905,        1.96171209,       1.775418247,       5.035469098
          0,           0,           8,     -0.6799070859,       1.888716159,       1.715070397,       4.967467744
          0,           0,           9,     -0.7704028608,        1.78284823,        1.65741341,       4.881750497
          0,           0,          10,     -0.8541662639,       1.688992403,       1.585886633,       4.798371848
          0,           0,          11,     -0.9262881958,       1.621587141,       1.496897767,       4.724432426
          0,           0,          12,     -0.9981998768,       1.558884357,       1.396473224,       4.651907047
          0,           0,          13,      -1.080275429,       1.481653065,       1.294378402,         4.5713991
          0,           0,          14,      -1.174820258,       1.384573883,       1.198755273,        4.47981413
          0,           0,          15,      -1.277621803,       1.272022453,       1.110954656,       4.379904326
          0,           0,          16,       -1.38202973,       1.154729393,       1.026533744,       4.276926262
          0,           0,          17,      -1.482939255,       1.044784666,      0.9402179126,       4.175514006
          0,           0,          18,      -1.580270063,      0.9469704447,      0.8489724867,       4.076714062
          0,           0,          19,      -1.677428403,       0.856085931,      0.7522051559,       3.978543893
          0,           0,          20,      -1.775851452,       0.765333755,      0.6508692465,       3.879995978
          0,           0,          21,      -1.873619292,      0.6726460086,       0.546126095,       3.782511357
          0,           0,          22,      -1.969238012,      0.5792104773,      0.4383115404,       3.687146383
          0,           0,          23,      -2.065321081,      0.4847856703,      0.3271355925,       3.591482579
          0,           0,          24,      -2.166077168,      0.3867521178,      0.2134700509,        3.49170249
          0,           0,          25,      -2.273078618,       0.282740957,      0.1001761614,       3.386288581
          0,           0,          26,      -2.383947485,      0.1729608829,   -0.009518491106,       3.277239489
          0,           0,          27,      -2.495180812,     0.06018893603,     -0.1147378191,       3.167584949
          0,           0,          28,      -2.604976282,    -0.05219260024,     -0.2172314285,        3.05880206
          0,           0,          29,      -2.713800425,      -0.162280993,     -0.3191684088,       2.950368846
          0,           0,          30,      -2.822707747,     -0.2700524881,     -0.4213857781,       2.841350771
          0,           0,          31,      -2.931794496,     -0.3759921612,     -0.5235545568,       2.731810144
          0,           0,          32,      -3.040068398,      -0.479768707,     -0.6253431914,       2.622841209
          0,           0,          33,      -3.146357898,     -0.5803231057,     -0.7272307369,       2.515649259
          0,           0,          34,       -3.25015075,     -0.6769994207,     -0.8303023767,       2.410810152
          0,           0,          35,      -3.351404318,     -0.7699299498,     -0.9354492444,       2.308561879
          0,           0,          36,      -3.449999002,     -0.8596756201,      -1.042790208,       2.209386176
          0,           0,          37,      -3.545927472,     -0.9472687906,      -1.151415311,       2.113686628
          0,           0,          38,      -3.639801233,      -1.034214818,      -1.259206411,       2.020970633
          0,           0,          39,      -3.732585202,      -1.121514298,       -1.36329459,       1.929942576
          0,           0,          40,       -3.82478031,      -1.208576398,      -1.461739176,       1.839533399
          0,           0,          41,       -3.91614114,      -1.293450634,      -1.555142065,       1.749561681
          0,           0,          42,      -4.006204832,      -1.374237892,      -1.646068651,       1.660407252
          0,           0,          43,      -4.094940563,      -1.450373109,      -1.736849218,       1.572270363
          0,           0,          44,      -4.182841876,      -1.522697079,      -1.828331627,       1.484885531
          0,           0,          45,      -4.270532814,      -1.592630845,       -1.92049368,       1.397866152
          0,           0,          46,      -4.358584702,       -1.66146536,      -2.013547333,       1.310986881
          0,           0,          47,      -4.447552947,      -1.729964886,      -2.108133187,       1.224119472
          0,           0,          48,       -4.53774579,      -1.798136013,      -2.204692429,       1.137223556
          0,           0,          49,      -4.628699418,      -1.865288969,      -2.303007565,       1.050666432
          0,           0,          50,      -4.718976763,      -1.930533403,      -2.402338585,      0.9654868151
          0,           0,          51,      -4.806803551,      -1.993426621,      -2.501648795,      0.8830321006
          0,           0,          52,      -4.891110655,      -2.054188829,      -2.599436609,      0.8041329227
          0,           0,          53,      -4.971946992,      -2.113346898,      -2.693592853,      0.7286777213
          0,           0,          54,      -5.049909606,      -2.171268924,      -2.782172513,       0.656040128
          0,           0,          55,      -5.125405092,      -2.228027466,      -2.864809339,      0.5857584196
          0,           0,          56,      -5.198518088,      -2.283582508,      -2.943015032,      0.5177144341
          0,           0,          57,      -5.269313509,      -2.337996406,      -3.018654545,       0.451852049
          0,           0,          58,      -5.337986718,      -2.391465993,      -3.092323411,      0.3879758265
          0,           0,          59,      -5.404744028,      -2.444205536,      -3.163392877,      0.3258470329
          0,           0,          60,      -5.469740731,      -2.496345956,      -3.231441968,      0.2653151212
          0,           0,          61,      -5.533195905,      -2.547936088,       -3.29733774,      0.2062736408
          0,           0,          62,      -5.595449518,      -2.598999926,      -3.362829932,      0.1485598886
          0,           0,          63,      -5.656809064,      -2.649570036,      -3.429335397,     0.09198245716
          0,           0,          64,      -5.717359286,      -2.699677589,      -3.497161451,     0.03643890646
          0,           0,          65,      -5.776966833,      -2.749334868,      -3.565537389,    -0.01804425659
          0,           0,          66,      -5.835463632,      -2.798539323,       -3.63309493,    -0.07139759061
          0,           0,          67,      -5.892803466,      -2.847291345,      -3.698415131,      -0.123613099
          0,           0,          68,      -5.949081496,      -2.895606183,      -3.760491596,     -0.1747727737
          0,           0,          69,      -6.004465266,      -2.943510666,      -3.819038694,     -0.2250054506
          0,           0,          70,      -6.059141602,       -2.99103456,       -3.87450998,     -0.2744391107
          0,           0,          71,      -6.113303576,      -3.038206169,      -3.927797206,     -0.3231831421
          0,           0,          72,      -6.167139316,        -3.0850526,      -3.979819189,     -0.3713282264
          0,           0,          73,       -6.22080445,      -3.131600421,      -4.031262365,     -0.4189466422
          0,           0,          74,      -6.274400204,      -3.177874897,       -4.08253577,     -0.4660932338
          0,           0,          75,      -6.327975251,      -3.223898776,        -4.1338172,     -0.5128109506
          0,           0,          76,       -6.38154158,      -3.269691673,      -4.185071004,     -0.5591365455
          0,           0,          77,      -6.435086713,      -3.315270089,      -4.236040262,     -0.6051007825
          0,           0,          78,      -6.488580097,      -3.360648001,      -4.286299504,     -0.6507255955
          0,           0,          79,      -6.541982303,      -3.405838151,      -4.335418383,     -0.6960248238
          0,           0,          80,      -6.595259142,       -3.45085365,      -4.383173562,     -0.7410101411
          0,           0,          81,      -6.648392834,      -3.495709034,      -4.429668468,     -0.7856976126
          0,           0,          82,      -6.701383969,      -3.540420205,      -4.475268803,     -0.8301105148
          0,           0,          83,      -6.754246664,      -3.585003589,      -4.520401606,     -0.8742783606
          0,           0,          84,      -6.807002328,       -3.62947524,      -4.565360242,     -0.9182343395
          0,           0,          85,      -6.859673223,      -3.673850307,      -4.610229005,     -0.9620123529
          0,           0,          86,       -6.91227423,      -3.718142877,      -4.654938501,      -1.005643718
          0,           0,          87,      -6.964804302,      -3.762365995,      -4.699380517,      -1.049154257
          0,           0,          88,      -7.017243409,      -3.806531852,      -4.743497776,      -1.092563402
          0,           0,          89,        -7.0695586,        -3.8506521,      -4.787307959,      -1.135886068
          0,           0,          90,      -7.121716084,      -3.894738147,      -4.830875795,      -1.179135992
          0,           0,          91,      -7.173691539,      -3.938801293,      -4.874272887,      -1.222328336
          0,           0,          92,      -7.225472542,      -3.982852605,      -4.917553168,      -1.265480112
          0,           0,          93,      -7.277053933,      -4.026902645,      -4.960748693,      -1.308608896
          0,           0,          94,      -7.328430727,      -4.070961185,      -5.003876657,      -1.351731113
          0,           0,          95,      -7.379593869,      -4.115037053,       -5.04694783,      -1.394861109
          0,           0,          96,      -7.430529938,      -4.159138118,      -5.089972455,      -1.438011108
          0,           0,          97,      -7.481224082,      -4.203271447,      -5.132963355,      -1.481191794
          0,           0,          98,      -7.531663132,       -4.24744352,      -5.175936657,      -1.524412916
